,4.024,16.276,27.939
553.014,0.053647541,0.071557553,0.396551728
553.218,0.056355278,0.071016306,0.515004641
553.423,0.027338989,0.070804893,0.465243524
553.627,0.041456149,0.072915171,0.444232998
553.831,0.035339002,0.073350551,0.446911535
554.035,0.044921311,0.077267452,0.503570332
554.24,0.043410742,0.071990552,0.470449878
554.444,0.049022158,0.070074252,0.443254366
554.648,0.044968948,0.065745395,0.452731358
554.852,0.049423298,0.068031291,0.385179624
555.057,0.037013234,0.063700838,0.479689653
555.261,0.027827025,0.069584919,0.498575937
555.465,0.042304218,0.065496201,0.406105202
555.669,0.050034869,0.071293716,0.442092791
555.873,0.040967854,0.066521897,0.49224455
556.078,0.042924679,0.069939181,0.47246948
556.282,0.038281573,0.079630325,0.437327069
556.486,0.046676361,0.064087635,0.477756785
556.69,0.052407883,0.069071108,0.449725062
556.894,0.055361634,0.069955607,0.420604014
557.098,0.042756944,0.071731899,0.44676817
557.302,0.049943581,0.072674777,0.381823954
557.506,0.04033101,0.073194379,0.464862197
557.71,0.033387316,0.075755057,0.482800916
557.914,0.045068638,0.0672466,0.396300613
558.118,0.053115628,0.07075631,0.450586836
558.322,0.038143515,0.06665318,0.469413578
558.526,0.039422342,0.078292901,0.432594123
558.73,0.052216894,0.070749412,0.46853551
558.934,0.046222456,0.066003478,0.458878228
559.138,0.053146853,0.074439159,0.399899799
559.342,0.045437286,0.073410079,0.396592097
559.546,0.045656744,0.074089926,0.448094246
559.75,0.05165191,0.070208652,0.460326409
559.954,0.046532287,0.067781363,0.436274105
560.158,0.052838544,0.070531891,0.440932484
560.362,0.027663361,0.070058478,0.486117952
560.565,0.035450631,0.075226324,0.414120571
560.769,0.045669144,0.072128823,0.488224761
560.973,0.034614647,0.06845319,0.442872278
561.177,0.047109104,0.071465015,0.416299094
561.381,0.050886651,0.075195651,0.41471924
561.585,0.048578491,0.072446796,0.472576677
561.788,0.040399519,0.067018025,0.427444458
561.992,0.035917224,0.0693573,0.434019404
562.196,0.03340721,0.071541783,0.463074821
562.4,0.043286335,0.06606264,0.418356789
562.603,0.03697646,0.070511461,0.424316033
562.807,0.056284574,0.073094535,0.38718042
563.011,0.044485721,0.064954039,0.4365409
563.214,0.0436427,0.069912311,0.467601106
563.418,0.043838172,0.070223991,0.438792326
563.622,0.032759912,0.074944248,0.441096054
563.825,0.046187849,0.068624573,0.433642196
564.029,0.05228543,0.070644046,0.4620182
564.233,0.055212103,0.075625941,0.48089838
564.436,0.040908108,0.07001754,0.448154886
564.64,0.050017115,0.056667362,0.411399489
564.843,0.050896152,0.070613681,0.442706903
565.047,0.051681946,0.076646293,0.414313254
565.25,0.032788884,0.07471317,0.480699397
565.454,0.047589883,0.075530722,0.3993691
565.658,0.038312486,0.067258974,0.444816487
565.861,0.034232812,0.063832119,0.442193542
