,4021,15960,27816
551.788,1.324679861,2.148527366,5.401536649
551.992,1.330019277,2.257815162,5.568134882
552.196,1.29393062,2.18169457,5.438695556
552.401,1.292209229,2.258187894,5.398342365
552.605,1.337675435,2.330419518,5.428329522
552.81,1.376393082,2.234416918,5.519601496
553.014,1.364402192,2.373926443,5.513900986
553.218,1.399083197,2.228225015,5.580011013
553.423,1.330935187,2.213310362,5.563105359
553.627,1.333351223,2.07989495,5.358690941
553.831,1.357716029,2.179528171,5.575868318
554.035,1.369072147,2.168540215,5.475560073
554.24,1.328017039,2.157449881,5.650445738
554.444,1.3813553,2.240789676,5.686981999
554.648,1.265317642,2.250921493,5.576696601
554.852,1.307933725,2.246598366,5.418207624
555.057,1.357255487,2.16381689,5.383309592
555.261,1.312787154,2.137087848,5.465888862
555.465,1.340711446,2.144422136,5.399724501
555.669,1.318813258,2.09107163,5.479690456
555.873,1.308364941,2.300015607,5.59921819
556.078,1.279998545,2.168162502,5.494061573
556.282,1.305086927,2.250221194,5.351336709
556.486,1.292572937,2.137067439,5.539114398
556.69,1.310267795,2.167811033,5.490284064
556.894,1.335551002,2.293807889,5.526543902
557.098,1.329946759,2.094645805,5.418303333
557.302,1.342297467,2.235906843,5.340987336
557.506,1.323222598,2.155418333,5.44605883
557.71,1.258782515,2.160447709,5.37469634
557.914,1.302030853,2.180319505,5.403121244
558.118,1.371927894,2.158159831,5.40276612
558.322,1.311806223,2.170413675,5.297219225
558.526,1.281415908,2.219544514,5.292382203
558.73,1.313951457,2.234661489,5.412182601
558.934,1.264168148,2.088270835,5.32770882
559.138,1.271930432,2.085976925,5.160424602
559.342,1.3394225,2.182935068,5.463084226
559.546,1.280238187,2.298999255,5.364776255
559.75,1.294303596,2.19761835,5.311549
559.954,1.282646122,2.148050943,5.497933807
560.158,1.318050405,2.127745551,5.359655307
560.362,1.321215455,2.242497498,5.412454487
560.565,1.345082676,2.086280848,5.204489884
560.769,1.266869625,2.161970142,5.527862839
560.973,1.279970668,2.184831398,5.344367435
561.177,1.262692081,2.114418681,5.23681156
561.381,1.294627905,2.126268703,5.294348834
561.585,1.32380637,2.122393966,5.218337398
561.788,1.30950008,2.006667162,5.339130288
561.992,1.275334465,2.188921267,5.066532047
562.196,1.27036291,2.058685777,5.13985225
562.4,1.269397251,2.105661025,5.240381122
562.603,1.253413037,2.051119488,5.247199369
562.807,1.255295308,2.155245073,4.980492097
563.011,1.32756881,2.113726288,5.240629129
563.214,1.26060312,2.083897468,5.166921618
563.418,1.332955573,2.003948416,5.168793807
563.622,1.283945257,1.999125626,5.355602709
563.825,1.270482537,2.125891803,5.170800832
564.029,1.292698571,2.236064766,5.270462648
564.233,1.258857722,2.097975931,5.093336708
564.436,1.283706084,2.146200628,5.219456789
564.64,1.336708901,2.078681085,5.109792576
564.843,1.251529122,2.14802088,5.190585597
565.047,1.270206565,2.052610127,5.20995479
565.25,1.256557273,2.091221347,5.022613582
565.454,1.26326192,2.117850356,5.243324893
565.658,1.265076423,2.08816697,5.086842916
565.861,1.27086958,1.996252922,4.987205898
566.065,1.277472348,2.165762356,5.023180628
566.268,1.300191699,2.093196161,5.146607303
566.471,1.210622295,2.122476101,5.347718823
566.675,1.214015841,2.176221446,5.27928572
566.878,1.208852429,2.019429537,5.094190822
567.082,1.262002129,1.95390145,4.994654277
567.285,1.235023988,2.020492145,5.072930446
567.489,1.27397412,2.09816575,4.990819299
567.692,1.228509752,2.12454534,5.008598993
567.895,1.19831798,1.9675884,5.186413156
568.099,1.255141875,2.035884079,4.889459732
568.302,1.201133616,2.018317173,4.943003105
568.505,1.227078401,2.017190728,5.054214371
568.709,1.220783361,2.038617171,4.914952729
568.912,1.227340069,2.016975373,5.031232735
569.115,1.233631924,2.120434296,4.936097309
569.319,1.190873461,2.179920438,5.083042262
569.522,1.252587768,2.033133876,4.925205935
569.725,1.23844211,2.009720317,4.878039833
569.928,1.21904239,1.93937381,5.018939561
570.132,1.222174263,1.998889003,5.031997887
570.335,1.224511105,2.093166228,4.949594045
570.538,1.279047706,2.024355713,5.044835885
